,Date,Original_Tweet,Clean_Tweet,Sentiment
891,2020-06-13,RT @laverauk: As all the hair salons are closed due to COVID-19 we have three sets of the new #lavera Volume and Strength Shampoo and Condi…,hair salon close due covid19 three set new volum strength shampoo condi,0.7591847868893679
892,2020-06-13,RT @JhaSanjay: I have tested positive for Covid_19 . As I am asymptomatic I am in home quarantine for the next 10-12 days. Please don’t und…,test posit covid19 asymptomat home quarantin next day pleas und,0.24052606252441983
893,2020-06-13,RT @SBSportsDiva: “Gov. Gavin Newsom is recklessly pushing to place more coronavirus patients in nursing homes and assisted living faciliti…,gov gavin newsom recklessli push place coronaviru patient nurs home assist live facil,0.7262372011043358
894,2020-06-13,RT @MaxCRoser: The Milken Institute publishes – and regularly updates – a tracker of all the possible treatments and vaccines for COVID-19…,milken institut publish regularli updat tracker possibl treatment vaccin covid19,0.3334473804065878
895,2020-06-13,"RT @GBA_RAHUL: *PROTEST DAY* 
against the anti working class &amp; anti people actions of GOI during Covid-19 .
@Abasandabea @manishb35933389…",protest day anti work class anti peopl action goi covid19,0.2572569674122509
896,2020-06-13,RT @ShadiYaghi2: The rate of ischemic stroke with COVID-19 infection is low but these strokes are more severe and more deadly. Thus the low…,rate ischem stroke covid19 infect low stroke sever deadli thu low,0.31371017501561843
897,2020-06-13,Researchers say half of accounts tweeting about COVID-19 are bots https://t.co/7Ba4vH0QmE https://t.co/PTPPdeWtQJ,research say half account tweet covid19 bot,0.2309237948292964
898,2020-06-13,"RT @hub_resource: How Has Covid-19 Affected Applicants To Higher Education: A HEPI Report
Nearly eight in every 10 applicants to uni do not…",covid19 affect applic higher educ hepi report nearli eight everi applic uni,0.715250714151293
899,2020-06-13,"'Is ‘move fast and break things’ working for NHSX?
Listen FREE to HSJ's latest podcast on how health tech is respon… https://t.co/Aune9363q4",move fast break thing work nhsx listen free hsj latest podcast health tech respon,0.7473546578601958
900,2020-06-13,Participated in the Apeejay Webinar on 'Media Landscape : Before and After Covid-19' held on 15th May 2020 by Prof.… https://t.co/djK4OF4vpu,particip apeejay webinar medium landscap covid19 held th may prof,0.30404336378932056
901,2020-06-13,RT @guardian: 'It's barely a Band-Aid': life inside San Francisco's first sanctioned tent camp https://t.co/PxKxOCGWKF,bare band aid life insid san francisco first sanction tent camp,0.7677907807429402
902,2020-06-13,RT @devin_alexandrr: Yoooo my Professor is clutch fuck Covid-19 😂🍾🎉 https://t.co/rcje7ybKrk,yoooo professor clutch fuck covid19,0.7271069672737874
903,2020-06-14,"RT @RandPaul: “Below 25 years old the fatality rate of COVID-19 is 0.00008%, or roughly one in 1.25 million . . .”  Open our schools now!
h…",year old fatal rate covid19 roughli one million open school ,0.2597365370238841
904,2020-06-14,"RT @JochenScholz2: “While millions risk their lives and livelihoods as first responders and front line workers,” said Collins, “these billi…",million risk life livelihood first respond front line worker said collin billi,0.7355587456232225
905,2020-06-14,"RT @Covid19Crusher: With the highest infection rate in Africa but only 10 deaths out of 2,047 cases as of yesterday, Djibouti is another il…",highest infect rate africa death case yesterday djibouti anoth il,0.20120270593041809
906,2020-06-14,"RT @UNAIDS: If you're living with HIV, here are some steps you can take to stay healthy during COVID-19.",live hiv step take stay healthi covid19,0.7581693961576667
907,2020-06-14,@sardesairajdeep What is empowered group - 1 and National Covid 19 action group?,empow group nation covid19 action group,0.26699370691155594
908,2020-06-14,"RT @QAnonNotables: “We currently do have some [COVID-19] deaths that are being reported that are clearly from other causes...In this case,…",current covid19 death report clearli caus case,0.7501403552656581
909,2020-06-14,The way America is currently handling a virus that you can catch more than once... COVID-19 is never gonna leave. J… https://t.co/rCkpE6wCiK,way america current handl viru catch covid19 never gon na leav ,0.2779585304127088
910,2020-06-14,RT @CorbyBCLeisure: Coronavirus testing is available in Corby this bank holiday weekend (by appointment only). Anyone over the age of five…,coronaviru test avail corbi bank holiday weekend appoint anyon age five,0.7502302182509348
911,2020-06-14,"RT @krishsitaraman: @ManaliShanbhag @CMOMaharashtra @mybmc Uddhav ji, kindly allow 14 day home quarantine after 1-day hotel quarantine &amp; Co…",uddhav ji kindli allow day home quarantin day hotel quarantin co,0.7539669308412356
912,2020-06-14,@ital_joy @WainainaJungle The legislator seeks to make sure his people are safe and are not infected by the COVID-1… https://t.co/tTDTqc37tK,legisl seek make sure peopl safe infect covid19,0.2325048345034664
913,2020-06-14,RT @brithume: I watched his WH Covid 19 briefings almost without exception and don’t recall him acknowleding this this once. Now he tells u…,watch wh covid19 brief almost without except recal acknowled tell ,0.6567729710659154
914,2020-06-14,"RT @CNN: ""To use the 'freedom of religion' argument to demand carte blanche to demand the opening of religious venues is to proffer a falla…",use freedom religion argument demand cart blanch demand open religi venu proffer falla,0.27491561356901906
915,2020-06-14,"RT @HandsomeSean1: Turns out that 20 year old that beat that elderly man at the nursing home in Detroit, wasn't a care worker. He was there…",turn year old beat elderli man nurs home detroit care worker,0.24941154809515334
