Word,Popularity,Probability
data,13,0.000826393744835039
prevent,13,0.000826393744835039
releas,13,0.000826393744835039
trace,13,0.000826393744835039
believ,13,0.000826393744835039
human,13,0.000826393744835039
daili,13,0.000826393744835039
thank,13,0.000826393744835039
healthcar,13,0.000826393744835039
free,13,0.000826393744835039
white,13,0.000826393744835039
studi,13,0.000826393744835039
question,13,0.000826393744835039
highest,13,0.000826393744835039
black,13,0.000826393744835039
dr,13,0.000826393744835039
found,13,0.000826393744835039
real,13,0.000826393744835039
diseas,13,0.000826393744835039
june,13,0.000826393744835039
old,12,0.0007628249952323437
earli,12,0.0007628249952323437
treatment,12,0.0007628249952323437
made,12,0.0007628249952323437
follow,12,0.0007628249952323437
across,12,0.0007628249952323437
develop,12,0.0007628249952323437
yet,12,0.0007628249952323437
major,12,0.0007628249952323437
small,12,0.0007628249952323437
plan,12,0.0007628249952323437
restrict,12,0.0007628249952323437
around,12,0.0007628249952323437
polit,12,0.0007628249952323437
realli,12,0.0007628249952323437
everyon,12,0.0007628249952323437
lead,12,0.0007628249952323437
respond,12,0.0007628249952323437
demand,12,0.0007628249952323437
latest,12,0.0007628249952323437
scientist,12,0.0007628249952323437
job,12,0.0007628249952323437
part,12,0.0007628249952323437
anti,12,0.0007628249952323437
florida,12,0.0007628249952323437
current,12,0.0007628249952323437
watch,12,0.0007628249952323437
market,12,0.0007628249952323437
provid,11,0.0006992562456296484
friend,11,0.0006992562456296484
area,11,0.0006992562456296484
campaign,11,0.0006992562456296484
given,11,0.0006992562456296484
offic,11,0.0006992562456296484
distanc,11,0.0006992562456296484
econom,11,0.0006992562456296484
set,11,0.0006992562456296484
man,11,0.0006992562456296484
share,11,0.0006992562456296484
pay,11,0.0006992562456296484
ad,11,0.0006992562456296484
popul,11,0.0006992562456296484
seen,11,0.0006992562456296484
post,11,0.0006992562456296484
alreadi,11,0.0006992562456296484
sever,11,0.0006992562456296484
thought,11,0.0006992562456296484
talk,11,0.0006992562456296484
group,11,0.0006992562456296484
alway,11,0.0006992562456296484
co,11,0.0006992562456296484
second,11,0.0006992562456296484
special,11,0.0006992562456296484
sign,11,0.0006992562456296484
advis,11,0.0006992562456296484
level,11,0.0006992562456296484
low,11,0.0006992562456296484
recent,11,0.0006992562456296484
train,11,0.0006992562456296484
join,11,0.0006992562456296484
tell,11,0.0006992562456296484
learn,11,0.0006992562456296484
understand,11,0.0006992562456296484
amid,11,0.0006992562456296484
mental,11,0.0006992562456296484
face,11,0.0006992562456296484
reopen,11,0.0006992562456296484
away,11,0.0006992562456296484
place,11,0.0006992562456296484
africa,11,0.0006992562456296484
rememb,11,0.0006992562456296484
save,11,0.0006992562456296484
avail,11,0.0006992562456296484
cancel,11,0.0006992562456296484
put,11,0.0006992562456296484
best,11,0.0006992562456296484
relat,11,0.0006992562456296484
south,11,0.0006992562456296484
begin,11,0.0006992562456296484
move,11,0.0006992562456296484
quarantin,10,0.0006356874960269531
almost,10,0.0006356874960269531
bodi,10,0.0006356874960269531
launch,10,0.0006356874960269531
school,10,0.0006356874960269531
resid,10,0.0006356874960269531
scienc,10,0.0006356874960269531
sent,10,0.0006356874960269531
end,10,0.0006356874960269531
run,10,0.0006356874960269531
unit,10,0.0006356874960269531
high,10,0.0006356874960269531
someth,10,0.0006356874960269531
isol,10,0.0006356874960269531
allow,10,0.0006356874960269531
donat,10,0.0006356874960269531
behind,10,0.0006356874960269531
includ,10,0.0006356874960269531
push,10,0.0006356874960269531
ago,10,0.0006356874960269531
yesterday,10,0.0006356874960269531
depart,10,0.0006356874960269531
